treatment,time,temp
39,9, 27.007042253521128
39,10, 32.024647887323944
39,11, 36.30281690140845
39,12, 39.07570422535211
39,13, 36.67253521126761
39,14, 32.315140845070424
39,15, 28.301056338028168
37,9, 28.617957746478872
37,10, 32.684859154929576
37,11, 35.220070422535215
37,12, 37.12147887323944
37,13, 35.51056338028169
37,14, 32.84330985915493
37,15, 30.017605633802816
35,9, 30.96830985915493
35,10, 32.684859154929576
35,11, 33.87323943661972
35,12, 34.982394366197184
35,13, 34.21654929577465
35,14, 32.526408450704224
35,15, 31.205985915492956